Proxy,Timestamp,Score,Success
39.101.161.223:8090,1755152243,0.00,0
120.79.21.48:808,1755152243,0.00,0
101.126.89.176:8082,1755152243,0.00,0
101.126.89.176:8082,1755152243,0.00,0
101.126.89.176:8082,1755152243,0.00,0
101.126.89.176:8082,1755152243,0.00,0
101.126.89.176:8082,1755152243,0.00,0
101.126.89.176:8082,1755152243,0.00,0
101.126.89.176:8082,1755152243,0.00,0
8.138.82.6:3128,1755152243,0.00,0
123.21.13.5:1003,1755152243,0.00,0
123.21.13.5:1006,1755152243,0.00,0
101.132.134.160:8888,1755152243,0.00,0
118.71.132.44:1003,1755152243,0.00,0
139.59.213.145:80,1755152243,0.24,1
139.59.213.145:80,1755152243,0.90,1
139.59.213.145:80,1755152243,0.74,1
211.198.78.200:80,1755152243,0.06,1
176.98.80.71:8080,1755152243,0.00,0
120.78.229.140:8000,1755152243,0.00,0
216.200.63.52:8080,1755152243,0.00,1
46.183.121.34:9999,1755152243,0.07,1
52.166.240.42:80,1755152243,0.00,0
52.166.240.42:80,1755152243,0.00,0
171.228.107.38:1007,1755152243,0.00,0
101.126.67.123:8082,1755152243,0.00,0
101.126.67.123:8082,1755152243,0.00,0
101.126.67.123:8082,1755152243,0.00,0
101.126.67.123:8082,1755152243,0.00,0
101.126.67.123:8082,1755152243,0.00,0
136.175.9.82:8083,1755152243,0.00,0
116.49.72.189:8888,1755152243,0.00,0
116.49.72.189:8888,1755152243,0.71,1
112.86.55.143:81,1755152243,0.00,0
8.152.204.59:8081,1755152243,0.00,0
178.128.55.239:8888,1755152243,0.00,1
41.92.157.70:8080,1755152243,0.00,0
103.63.190.84:8080,1755152243,0.00,0
202.154.18.129:8080,1755152243,0.01,1
202.154.18.129:8080,1755152243,0.02,1
72.10.160.171:15599,1755152243,0.00,0
116.102.206.233:8000,1755152243,0.00,0
116.102.206.233:8000,1755152243,0.00,0
47.97.121.189:1000,1755152243,0.00,0
216.10.253.97:80,1755152243,0.00,1
216.10.253.97:80,1755152243,0.00,1
136.175.9.83:8082,1755152243,0.00,0
85.117.56.151:8080,1755152243,0.00,1
85.117.56.151:8080,1755152243,0.00,1
85.117.56.151:8080,1755152243,0.00,1
39.108.88.42:80,1755152243,0.00,0
85.117.56.71:8080,1755152243,0.00,1
85.118.117.165:8080,1755152243,0.00,1
85.118.117.165:8080,1755152243,0.00,1
171.244.5.173:3129,1755152243,0.00,0
72.10.160.170:1385,1755152243,0.00,0
221.231.13.198:1080,1755152243,0.00,0
58.216.109.14:800,1755152243,0.00,0
103.118.44.203:8080,1755152243,0.00,0
43.128.87.252:80,1755152243,0.00,0
220.116.142.217:80,1755152243,0.00,0
58.216.109.17:800,1755152243,0.00,0
218.77.183.214:5224,1755152243,0.00,0
39.106.149.155:3128,1755152243,0.00,0
39.106.149.155:3128,1755152243,0.00,0
39.106.149.155:3128,1755152243,0.00,0
61.158.175.38:9002,1755152243,0.00,0
123.21.13.5:1001,1755152243,0.00,0
171.228.105.222:1008,1755152243,0.00,0
123.21.13.5:1002,1755152243,0.00,0
43.128.87.252:443,1755152243,0.00,0
43.128.87.252:443,1755152243,0.00,0
123.21.13.5:1010,1755152243,0.00,0
123.128.12.93:9055,1755152243,0.00,0
123.128.12.93:9055,1755152243,0.00,0
5.161.225.0:10000,1755152243,0.00,1
5.161.225.0:10000,1755152243,0.03,1
5.161.225.0:10000,1755152243,0.00,1
5.161.225.0:10000,1755152243,0.07,1
5.161.225.0:10000,1755152243,0.00,1
171.228.181.239:1001,1755152243,0.00,0
171.228.181.239:1001,1755152243,0.00,0
165.225.72.38:10801,1755152243,0.01,1
165.225.72.38:10801,1755152243,0.01,1
