HTTP Proxy,Latency (ms),,SOCKS4 Proxy,Latency (ms),,SOCKS5 Proxy,Latency (ms)
173.209.63.69:8105,2895.3,,,,,,,
173.209.63.70:8228,2591.8,,,,,,,
173.209.63.69:8236,2810.03,,,,,,,
173.209.63.69:8125,2891.57,,,,,,,
173.209.63.68:8177,3017.79,,,,,,,
173.209.63.70:8165,2660.97,,,,,,,
173.209.63.69:8061,2972.46,,,,,,,
173.209.63.69:8185,2907.74,,,,,,,
173.209.63.68:8125,3090.14,,,,,,,
173.209.63.68:8014,3143.83,,,,,,,
173.209.63.67:8102,3253.47,,,,,,,
173.209.63.67:8003,3304.12,,,,,,,
173.209.63.66:8047,3462.26,,,,,,,
173.209.63.67:8010,3323.11,,,,,,,
173.209.63.67:8222,3216.23,,,,,,,
173.209.63.68:8011,3225.59,,,,,,,
173.209.63.67:8027,3340.59,,,,,,,
173.209.63.69:8054,3092.22,,,,,,,
173.209.63.70:8179,2849.5,,,,,,,
173.209.63.67:8167,3337.39,,,,,,,
173.209.63.66:8221,3473.51,,,,,,,
173.209.63.66:8105,3554.39,,,,,,,
173.209.63.68:8121,3281.48,,,,,,,
173.209.63.70:8122,2945.04,,,,,,,
173.209.63.70:8011,3124.25,,,,,,,
173.209.63.66:8116,3638.01,,,,,,,
173.209.63.70:8121,3094.64,,,,,,,
173.209.63.67:8217,3552.08,,,,,,,
173.209.63.66:8096,3803.61,,,,,,,
173.209.63.67:8237,3580.28,,,,,,,
173.209.63.69:8217,3320.52,,,,,,,
173.209.63.70:8144,3122.54,,,,,,,
173.209.63.66:8149,3818.0,,,,,,,
173.209.63.66:8102,3850.28,,,,,,,
18.130.202.43:8080,1152.33,,,,,,,
173.209.63.68:8072,3607.19,,,,,,,
173.209.63.69:8195,3403.27,,,,,,,
173.209.63.70:8217,3153.96,,,,,,,
173.209.63.66:8213,3830.43,,,,,,,
173.209.63.70:8105,3282.82,,,,,,,
173.209.63.66:8022,3990.61,,,,,,,
173.209.63.70:8233,3258.77,,,,,,,
173.209.63.67:8113,3853.78,,,,,,,
173.209.63.69:8165,3544.79,,,,,,,
173.209.63.67:8230,3751.44,,,,,,,
173.209.63.69:8006,3679.18,,,,,,,
173.209.63.67:8161,3853.01,,,,,,,
173.209.63.70:8128,3380.83,,,,,,,
18.100.145.231:3128,1383.71,,,,,,,
173.209.63.70:8146,3373.89,,,,,,,
173.209.63.67:8213,3860.76,,,,,,,
18.100.233.78:3128,1329.1,,,,,,,
173.209.63.69:8229,3620.18,,,,,,,
173.209.63.66:8128,4104.01,,,,,,,
173.209.63.66:8129,4136.74,,,,,,,
173.209.63.68:8032,3918.77,,,,,,,
173.209.63.68:8228,3874.9,,,,,,,
173.209.63.68:8159,3927.0,,,,,,,
18.197.132.118:3128,1459.06,,,,,,,
18.231.59.51:3128,1433.08,,,,,,,
173.209.63.66:8193,4217.34,,,,,,,
173.209.63.68:8210,4020.61,,,,,,,
173.209.63.69:8052,3970.29,,,,,,,
173.209.63.70:8161,3509.37,,,,,,,
173.209.63.67:8179,4102.39,,,,,,,
18.101.22.36:1080,1612.06,,,,,,,
173.209.63.70:8216,3691.74,,,,,,,
173.209.63.66:8210,4313.24,,,,,,,
173.209.63.69:8179,3914.62,,,,,,,
18.231.246.132:3128,1564.43,,,,,,,
173.209.63.67:8233,4228.16,,,,,,,
173.209.63.67:8128,4273.13,,,,,,,
173.209.63.69:8233,4023.83,,,,,,,
173.209.63.70:8075,3922.95,,,,,,,
173.209.63.69:8036,4159.23,,,,,,,
173.209.63.66:8146,4510.34,,,,,,,
184.72.22.147:3128,662.56,,,,,,,
173.209.63.69:8190,4099.5,,,,,,,
173.209.63.69:8112,4176.29,,,,,,,
173.209.63.67:8228,4315.11,,,,,,,
173.209.63.68:8172,4231.64,,,,,,,
18.169.183.43:3128,1822.44,,,,,,,
173.209.63.68:8195,4293.67,,,,,,,
173.209.63.68:8036,4303.85,,,,,,,
173.209.63.67:8032,4507.51,,,,,,,
173.209.63.68:8221,4220.47,,,,,,,
173.209.63.68:8112,4370.69,,,,,,,
173.209.63.68:8244,4301.89,,,,,,,
173.209.63.69:8174,4204.64,,,,,,,
173.209.63.69:8158,4288.97,,,,,,,
18.143.173.102:23216,2011.12,,,,,,,
18.134.226.108:3128,2033.04,,,,,,,
18.143.173.102:21681,2021.48,,,,,,,
173.209.63.70:8212,4105.1,,,,,,,
173.209.63.66:8161,4800.62,,,,,,,
173.209.63.70:8195,4172.34,,,,,,,
173.209.63.69:8212,4416.04,,,,,,,
173.209.63.69:8210,4322.37,,,,,,,
173.209.63.68:8200,4584.79,,,,,,,
173.209.63.67:8200,4702.27,,,,,,,
173.209.63.66:8237,4744.52,,,,,,,
173.209.63.70:8213,4217.91,,,,,,,
173.209.63.68:8187,4546.5,,,,,,,
173.209.63.68:8214,4613.41,,,,,,,
173.209.63.69:8146,4538.56,,,,,,,
173.209.63.68:8108,4737.46,,,,,,,
173.209.63.68:8222,4683.22,,,,,,,
173.209.63.69:8134,4784.58,,,,,,,
173.209.63.70:8158,4571.47,,,,,,,
173.209.63.67:8244,5036.21,,,,,,,
173.209.63.66:8215,5189.32,,,,,,,
173.209.63.70:8127,4664.3,,,,,,,
173.209.63.69:8237,4430.37,,,,,,,
173.209.63.69:8131,4793.51,,,,,,,
173.209.63.68:8006,5087.81,,,,,,,
173.209.63.67:8144,5180.02,,,,,,,
173.209.63.68:8096,4987.74,,,,,,,
173.209.63.70:8229,4688.07,,,,,,,
173.209.63.66:8034,5499.46,,,,,,,
173.209.63.69:8013,5080.41,,,,,,,
173.209.63.66:8200,5267.96,,,,,,,
173.209.63.66:8032,5450.04,,,,,,,
173.209.63.70:8097,4609.03,,,,,,,
173.209.63.69:8167,5139.88,,,,,,,
173.209.63.68:8203,5386.77,,,,,,,
173.209.63.68:8215,5416.13,,,,,,,
173.209.63.67:8044,5664.8,,,,,,,
173.209.63.66:8138,5691.2,,,,,,,
185.117.119.112:8080,1905.17,,,,,,,
173.209.63.66:8174,5512.11,,,,,,,
173.209.63.70:8129,5174.97,,,,,,,
173.209.63.70:8112,4749.18,,,,,,,
173.209.63.67:8183,5779.05,,,,,,,
173.209.63.69:8200,5420.77,,,,,,,
173.209.63.69:8245,5599.59,,,,,,,
173.209.63.69:8172,5688.27,,,,,,,
173.209.63.69:8032,5734.83,,,,,,,
173.209.63.70:8154,5301.84,,,,,,,
173.209.63.66:8044,6188.04,,,,,,,
173.209.63.70:8044,5594.12,,,,,,,
173.209.63.70:8028,5933.71,,,,,,,
173.209.63.69:8138,6008.83,,,,,,,
173.209.63.66:8190,6568.18,,,,,,,
173.209.63.69:8203,6441.42,,,,,,,
173.209.63.70:8220,6473.21,,,,,,,
181.205.39.238:8080,4299.61,,,,,,,
173.209.63.68:8113,7189.66,,,,,,,
173.209.63.67:8151,7176.05,,,,,,,
180.191.2.16:8081,4636.7,,,,,,,
184.82.241.49:8080,4145.49,,,,,,,
181.204.39.202:26312,5231.01,,,,,,,
182.253.62.42:8080,5366.73,,,,,,,
181.48.135.34:999,5689.54,,,,,,,
180.191.59.103:9995,8073.48,,,,,,,
185.91.126.169:8080,3031.11,,,,,,,
187.251.224.167:8081,3527.84,,,,,,,
186.96.70.57:999,4906.78,,,,,,,
186.96.50.113:999,5241.99,,,,,,,
190.97.247.222:8080,2922.14,,,,,,,
185.191.236.162:3128,7341.21,,,,,,,
186.180.20.34:8080,5648.17,,,,,,,
188.132.222.11:8080,5617.06,,,,,,,
188.125.167.170:8080,5881.08,,,,,,,
190.7.138.78:8080,4446.28,,,,,,,
190.97.236.144:999,4554.19,,,,,,,
190.94.213.23:999,4565.88,,,,,,,
190.93.102.136:999,5472.75,,,,,,,
190.123.83.137:999,6376.2,,,,,,,
190.104.37.36:999,6559.34,,,,,,,
197.218.16.16:3128,4675.56,,,,,,,
188.132.249.164:8080,7491.07,,,,,,,
190.217.19.185:999,6044.44,,,,,,,
192.177.33.197:8000,5940.9,,,,,,,
202.182.108.153:3128,3046.61,,,,,,,
202.154.18.160:8084,3120.32,,,,,,,
203.96.226.154:8080,3494.97,,,,,,,
204.252.112.100:3128,4091.05,,,,,,,
202.232.52.162:8080,4153.59,,,,,,,
195.142.25.193:8080,6462.76,,,,,,,
