Proxy,Timestamp,Score,Success
45.175.155.12:999,1755020862,0.00,0
47.109.83.196:45554,1755020862,0.00,0
39.100.88.89:34567,1755020862,0.00,0
47.91.115.179:9080,1755020862,0.00,0
47.121.182.36:8008,1755020862,0.00,0
39.104.59.56:9080,1755020862,0.00,0
39.101.65.228:999,1755020862,0.00,0
47.121.182.36:80,1755020862,0.00,0
39.102.214.199:80,1755020862,0.00,0
47.121.182.36:8888,1755020862,0.00,0
39.102.214.199:3128,1755020862,0.00,0
39.100.88.89:3128,1755020862,0.00,0
39.102.208.189:8008,1755020862,0.00,0
47.121.133.212:3128,1755020862,0.00,0
47.91.120.190:3128,1755020862,0.00,0
39.102.214.199:57114,1755020862,0.00,0
47.121.182.36:8080,1755020862,0.00,0
39.102.208.189:3128,1755020862,0.00,0
39.100.88.89:9080,1755020862,0.00,0
39.102.208.189:8080,1755020862,0.00,0
39.102.208.236:10000,1755020862,0.00,0
47.91.110.148:8443,1755020862,0.00,0
47.91.29.151:3128,1755020862,0.00,0
200.90.52.154:999,1755020862,0.00,0
47.91.29.151:1311,1755020862,0.00,0
47.121.133.212:8008,1755020862,0.00,0
171.237.60.177:10004,1755020862,0.00,0
171.237.60.177:10004,1755020862,0.00,0
171.237.60.177:10004,1755020862,0.00,0
103.163.80.74:105,1755020862,0.00,0
47.121.133.212:1080,1755020862,0.00,0
171.249.163.170:1452,1755020862,0.00,0
39.101.65.228:8899,1755020862,0.00,0
47.109.110.100:9080,1755020862,0.00,0
38.7.131.190:999,1755020862,0.00,0
39.104.69.76:9098,1755020862,0.00,0
47.109.110.100:8080,1755020862,0.00,0
39.100.88.89:8081,1755020862,0.00,0
200.95.184.50:999,1755020862,0.00,0
39.101.65.228:111,1755020862,0.00,0
149.129.255.179:9050,1755020862,0.00,0
45.181.12.10:999,1755020862,0.00,0
39.101.65.228:1081,1755020862,0.00,0
39.102.208.189:1081,1755020862,0.00,0
47.92.143.92:3128,1755020862,0.00,0
47.92.143.92:5060,1755020862,0.00,0
188.132.249.136:8080,1755020862,0.00,0
39.102.208.189:80,1755020862,0.00,0
47.116.181.146:80,1755020862,0.00,0
103.234.124.183:7777,1755020862,0.00,0
39.102.208.236:80,1755020862,0.00,0
39.102.214.199:8443,1755020862,0.00,0
47.121.183.107:80,1755020862,0.00,0
39.101.65.228:18081,1755020862,0.00,0
39.102.211.162:5060,1755020862,0.00,0
39.102.208.236:10002,1755020862,0.00,0
39.102.211.162:80,1755020862,0.00,0
39.102.214.208:10002,1755020862,0.00,0
81.28.38.3:8080,1755020862,0.00,0
47.121.183.107:6379,1755020862,0.00,0
47.116.181.146:12000,1755020862,0.00,0
149.129.255.179:4002,1755020862,0.00,0
45.123.142.20:8181,1755020862,0.00,0
47.92.152.43:9080,1755020862,0.00,0
39.102.208.189:8085,1755020862,0.00,0
134.236.61.7:8080,1755020862,0.00,0
47.109.83.196:8008,1755020862,0.00,0
47.92.152.43:9098,1755020862,0.00,0
47.121.183.107:8081,1755020862,0.00,0
47.121.182.88:8081,1755020862,0.00,0
47.92.194.235:3128,1755020862,0.00,0
39.102.208.236:3128,1755020862,0.00,0
47.92.152.43:12000,1755020862,0.00,0
39.102.214.208:3128,1755020862,0.00,0
