HTTP Proxy,Latency (ms),,SOCKS4 Proxy,Latency (ms),,SOCKS5 Proxy,Latency (ms)
177.93.58.102:999,2072.24,,,,,,,
18.130.202.43:3128,780.05,,,,,,,
18.100.145.231:3128,1007.39,,,,,,,
18.130.202.43:8080,1196.39,,,,,,,
18.101.22.36:1080,2111.31,,,,,,,
18.61.78.44:6012,2197.13,,,,,,,
18.231.59.51:3128,2326.12,,,,,,,
179.1.201.131:9992,3818.35,,,,,,,
178.20.41.152:3128,4255.25,,,,,,,
18.231.246.132:3128,3118.46,,,,,,,
179.1.203.76:999,4048.25,,,,,,,
18.163.196.59:3128,3924.95,,,,,,,
18.163.196.59:1080,3932.78,,,,,,,
18.143.167.190:11309,4186.27,,,,,,,
18.143.167.190:52889,4377.06,,,,,,,
179.1.73.229:999,5247.33,,,,,,,
180.191.20.206:8080,3277.96,,,,,,,
179.1.143.70:9992,5552.49,,,,,,,
181.143.131.30:999,3397.8,,,,,,,
181.209.116.190:9090,3697.25,,,,,,,
181.78.216.38:999,3814.31,,,,,,,
182.253.109.29:8080,3577.95,,,,,,,
181.45.78.61:8080,5180.71,,,,,,,
180.254.194.206:8080,7122.84,,,,,,,
183.80.22.107:16000,4821.65,,,,,,,
183.80.22.67:16000,4974.47,,,,,,,
182.253.109.132:8080,7319.41,,,,,,,
182.253.162.69:8080,6820.89,,,,,,,
182.253.140.250:8080,7901.82,,,,,,,
185.133.213.86:8074,5511.22,,,,,,,
185.151.29.96:3128,3862.19,,,,,,,
185.200.37.37:8080,6738.41,,,,,,,
186.116.148.52:8080,4375.45,,,,,,,
186.194.161.141:999,4221.61,,,,,,,
188.125.169.149:8080,3607.9,,,,,,,
188.132.249.253:8080,3917.88,,,,,,,
188.132.222.23:8080,5874.76,,,,,,,
190.14.249.111:8080,4259.9,,,,,,,
190.104.37.36:999,4855.68,,,,,,,
190.97.228.46:465,2111.2,,,,,,,
190.120.255.160:999,5491.85,,,,,,,
190.121.146.75:999,5625.94,,,,,,,
190.69.157.208:999,3939.73,,,,,,,
190.8.164.245:999,3852.87,,,,,,,
190.122.88.116:6969,6192.41,,,,,,,
190.97.236.134:999,4041.77,,,,,,,
190.60.36.210:999,5556.68,,,,,,,
192.177.139.214:8000,4802.59,,,,,,,
192.46.230.254:3128,3639.99,,,,,,,
192.140.93.6:3128,5147.28,,,,,,,
192.46.229.19:3128,4144.61,,,,,,,
193.43.140.228:8080,4521.78,,,,,,,
197.218.16.16:3128,3778.97,,,,,,,
198.52.243.3:9999,3581.17,,,,,,,
200.125.168.56:999,2379.19,,,,,,,
197.243.27.122:3128,6396.59,,,,,,,
20.121.130.84:3128,4525.11,,,,,,,
200.174.198.86:8888,4071.86,,,,,,,
200.106.63.218:999,5920.21,,,,,,,
201.244.16.139:999,3967.35,,,,,,,
209.97.150.167:3128,1299.91,,,,,,,
204.48.31.203:80,3555.72,,,,,,,
203.174.15.138:8080,4513.96,,,,,,,
202.6.224.20:8081,6219.88,,,,,,,
203.142.74.115:8080,5607.47,,,,,,,
203.112.223.126:8080,5685.84,,,,,,,
212.83.162.158:3128,3924.7,,,,,,,
209.14.98.6:8080,5750.82,,,,,,,
212.51.157.178:8080,5281.88,,,,,,,
213.87.103.76:3128,3636.88,,,,,,,
213.169.33.10:8001,6089.3,,,,,,,
23.237.210.82:80,1638.22,,,,,,,
210.75.240.154:3128,7805.58,,,,,,,
210.5.93.251:8080,7841.2,,,,,,,
223.16.170.103:3128,3498.37,,,,,,,
223.16.170.103:80,3640.65,,,,,,,
217.160.162.25:8888,4651.51,,,,,,,
3.147.60.235:3128,403.88,,,,,,,
223.204.80.116:8080,5501.07,,,,,,,
223.204.177.13:3128,5671.97,,,,,,,
3.142.201.147:3128,1377.92,,,,,,,
3.142.201.147:1080,1632.97,,,,,,,
27.71.139.254:16000,3062.83,,,,,,,
3.122.235.189:8103,1884.76,,,,,,,
27.71.132.134:16000,3351.25,,,,,,,
3.92.167.74:1080,928.65,,,,,,,
3.99.190.32:3128,1120.05,,,,,,,
3.101.58.175:3128,3053.26,,,,,,,
3.149.235.212:3128,2778.0,,,,,,,
3.122.235.189:8420,2812.87,,,,,,,
23.131.56.188:999,6918.81,,,,,,,
3.29.58.203:59143,2653.27,,,,,,,
3.70.233.234:3128,2599.41,,,,,,,
3.67.92.255:3128,2742.82,,,,,,,
3.79.73.102:8080,2523.81,,,,,,,
27.71.140.43:16000,4910.51,,,,,,,
3.115.123.90:3128,3677.8,,,,,,,
3.29.58.203:1080,4187.7,,,,,,,
34.215.145.70:3128,844.7,,,,,,,
27.124.75.2:1080,6780.63,,,,,,,
34.245.122.113:8080,1726.01,,,,,,,
34.129.144.87:8888,2400.03,,,,,,,
35.152.137.99:8089,2624.12,,,,,,,
36.136.27.2:4999,4108.62,,,,,,,
36.89.158.93:4480,4937.81,,,,,,,
36.37.86.26:9812,6178.8,,,,,,,
38.65.174.107:999,3189.1,,,,,,,
40.176.45.160:10888,2139.07,,,,,,,
38.7.131.198:999,4563.32,,,,,,,
40.176.42.142:3128,3077.41,,,,,,,
39.102.210.12:8080,4016.43,,,,,,,
42.113.20.127:16000,3671.07,,,,,,,
43.216.21.187:3128,3003.72,,,,,,,
42.118.1.34:16000,4497.67,,,,,,,
43.133.61.134:3128,4194.07,,,,,,,
43.208.148.173:3128,4222.0,,,,,,,
42.200.253.116:8080,5796.44,,,,,,,
45.166.93.113:999,5039.13,,,,,,,
45.186.6.104:3128,3121.09,,,,,,,
45.22.209.157:8888,3398.14,,,,,,,
45.190.79.65:999,4459.7,,,,,,,
45.233.67.226:999,4122.94,,,,,,,
45.177.16.129:999,5822.16,,,,,,,
46.175.148.17:2040,1294.65,,,,,,,
46.34.165.86:443,2956.17,,,,,,,
47.115.35.231:3128,3056.43,,,,,,,
46.39.105.157:8080,3448.86,,,,,,,
46.62.143.200:8077,4579.7,,,,,,,
46.161.194.69:8085,8177.38,,,,,,,
46.36.200.151:8080,8423.95,,,,,,,
47.251.11.225:3366,4201.29,,,,,,,
47.79.19.26:8118,2749.77,,,,,,,
47.74.226.8:5001,4304.99,,,,,,,
49.115.217.139:80,4838.71,,,,,,,
49.48.84.178:8080,4464.2,,,,,,,
49.229.100.235:8080,5211.9,,,,,,,
50.18.252.169:3128,2421.93,,,,,,,
51.20.192.194:3128,1725.83,,,,,,,
51.20.103.83:8080,1957.42,,,,,,,
52.15.161.54:56793,1281.83,,,,,,,
49.0.33.133:27039,7100.11,,,,,,,
52.15.161.54:3128,1403.97,,,,,,,
51.84.57.154:3128,1698.48,,,,,,,
54.226.69.33:3128,1600.0,,,,,,,
49.49.146.228:8080,7420.39,,,,,,,
56.124.22.247:3128,1728.1,,,,,,,
51.84.57.154:57368,3007.63,,,,,,,
57.129.81.201:3128,2236.16,,,,,,,
54.180.135.57:8888,2592.34,,,,,,,
52.193.148.177:3128,2946.57,,,,,,,
54.179.84.81:1080,2634.72,,,,,,,
54.219.227.207:3128,2515.5,,,,,,,
54.180.135.57:8082,2959.53,,,,,,,
54.254.196.68:3128,2800.99,,,,,,,
51.92.210.224:3128,3700.02,,,,,,,
54.255.239.60:1024,2820.61,,,,,,,
54.248.28.31:1080,2910.2,,,,,,,
54.151.103.251:1080,3207.32,,,,,,,
52.47.169.231:3128,3427.47,,,,,,,
52.29.191.183:3128,3473.68,,,,,,,
54.233.37.255:10006,3323.73,,,,,,,
52.198.162.123:3128,3997.86,,,,,,,
61.216.156.222:60808,2357.4,,,,,,,
62.193.118.60:1976,1587.0,,,,,,,
54.238.237.156:1080,3829.71,,,,,,,
54.255.239.60:1111,4625.99,,,,,,,
61.76.95.217:40088,4286.64,,,,,,,
61.245.9.174:5050,4991.24,,,,,,,
62.234.206.73:3128,4153.69,,,,,,,
65.108.251.40:19695,4276.4,,,,,,,
59.36.239.108:21133,7274.31,,,,,,,
63.250.32.221:3128,5633.41,,,,,,,
65.108.251.40:39393,4365.33,,,,,,,
65.108.251.40:17171,5431.67,,,,,,,
67.43.236.18:27179,3559.18,,,,,,,
72.10.160.171:15599,2222.22,,,,,,,
67.43.228.250:14971,5225.43,,,,,,,
67.43.236.18:25981,4647.64,,,,,,,
72.10.160.171:33041,2963.88,,,,,,,
72.10.160.90:27839,2410.36,,,,,,,
72.10.160.171:4815,4203.73,,,,,,,
78.47.126.220:8888,1777.98,,,,,,,
72.10.160.90:3197,4131.43,,,,,,,
74.50.96.247:8888,2910.98,,,,,,,
72.10.164.178:19979,3738.82,,,,,,,
72.10.164.178:28637,3317.99,,,,,,,
77.242.98.39:8080,3376.75,,,,,,,
8.209.228.207:3128,3913.56,,,,,,,
8.217.250.141:33333,4205.38,,,,,,,
80.110.46.203:13001,3012.67,,,,,,,
91.228.126.9:8080,2234.92,,,,,,,
91.239.17.22:8080,4831.76,,,,,,,
99.79.33.160:8080,1629.61,,,,,,,
98.81.216.36:3128,1642.23,,,,,,,
94.236.164.167:3333,3993.89,,,,,,,
91.218.244.153:8989,7260.6,,,,,,,
93.91.112.247:41258,5307.54,,,,,,,
94.182.146.250:8080,6785.72,,,,,,,
